Autor, Year, Title, Ed,Sub
Unknown,1997, Funny hats but serious business. Headbone Interactive's Success,Editor and Publisher,Book Publisher
Unknown,1997, His Latest Creation Is Web Animation [by editorial cartoonists],Editor and Publisher,Book Publisher
Unknown,1997, Job Losses Bother Man Of Many Jobs [Milt Priggee],Editor and Publisher,Book Publisher
Unknown,1997, Judge Is Hit For 'Dilbert' Display,Editor and Publisher,Book Publisher
Unknown,1997, Los Angeles Times Hires [editorial cartoonist] Mike Ramirez [after Paul Conrad's retirement],Editor and Publisher,Book Publisher
Unknown,1997, Major Redesign For A Successful Web Site [United Media Syndicate],Editor and Publisher,Book Publisher
Unknown,1997, Making The Most Of Birthday Years [comic strip anniversaries],Editor and Publisher,Book Publisher
Unknown,1997, Milt Priggee's Presidential Path [editorial cartoons],Editor and Publisher,Book Publisher
Unknown,1997, National Furor Over Editorial Cartoon [by Steve Benson used on Oklahoma City bombing],Editor and Publisher,Book Publisher
Unknown,1997, New Adventures For Editorial Cartoonists,Editor and Publisher,Book Publisher
Unknown,1997, Non-Newspaper Web Sites Also Want Features,Editor and Publisher,Book Publisher
Unknown,1997, Online Sales On The Rise For Syndicates,Editor and Publisher,Book Publisher
Unknown,1997, Racial Message [of tolerance in Stan Lee's 'Spider-Man'],Editor and Publisher,Book Publisher
Unknown,1997, Reaction To End Of [Syndicate] Exclusivity Lawsuit,Editor and Publisher,Book Publisher
Unknown,1997, Should They Stay Or Should They Go? [syndication decisions],Editor and Publisher,Book Publisher
Unknown,1997, They Love HTTP At Groups Like NSNC [cartoons on the Web],Editor and Publisher,Book Publisher
Unknown,1997, Thirty-Minute Q&A On 68-Year Career [of Herbert Block],Editor and Publisher,Book Publisher
Unknown,1997, Two strips end as third thrives [Agatha Crumm and What A Guy canceled; Lockhorns continues],Editor and Publisher,Book Publisher
Unknown,1997, Universal Is Buying Chronicle Features,Editor and Publisher,Book Publisher
Unknown,1997, Universal Signs Weekly Cartoon [Ruben Bolling's 'Tom the Dancing Bug'],Editor and Publisher,Book Publisher
Unknown,1997, Your [political] Cartoon Nixed? Here Are Some Tips! [at AAEC meeting],Editor and Publisher,Book Publisher
Astor. Dave,2000, 'Chickweed' Reroots to Ufs,Editor and Publisher,Book Publisher
Astor. Dave,2000, Comics Aren't Set in 'Stone'. 'Stone Soup' Latest Strip To Change,Editor and Publisher,Book Publisher
Astor. Dave et. al,2004, 'Mutts' and 'Lola' Collections,Editor and Publisher,Book Publisher
Astor. Dave,2004, Cartoon Auction at Charity Event,Editor and Publisher,Book Publisher
Astor. Dave,2004, 'Doonesbury' Brings New Subscribers To Salon.com,Editor and Publisher,Book Publisher
Astor. Dave,2004, Ever-Creative 'Pearls' to Reference Other Comics This Week,Editor and Publisher,Book Publisher
Astor. Dave,2004, 'Prickly City' Comic Victimized as Readers Are Routed to Porn Site [Scott Stantis],Editor and Publisher,Book Publisher
Astor. Dave,2004, WashingtonPost.com Drops Ted Rall's Cartoons,Editor and Publisher,Book Publisher
Olson. Erin,2004, Alongside 'Garfield' in 'The Oregonian.' 'CulturePulp' is Local. Non- Fiction Strip,Editor and Publisher,Book Publisher
Astor. Dave et. al,2005, A 'Mutts' Tour of New Jersey,Editor and Publisher,Book Publisher
Astor. Dave et. al,2005, A Nutty Canine Contest [Mutts],Editor and Publisher,Book Publisher
Astor. Dave et. al,2005, Auction of 'Mutts' Strip Raising Funds for Gulf Coast Animals,Editor and Publisher,Book Publisher
Astor. Dave et. al,2005, Comic Site Seeks Help for Gulf Coast Animals [Mutts],Editor and Publisher,Book Publisher
Astor. Dave et. al,2005, McDonnell Writes First 'Mutts' Children's Book,Editor and Publisher,Book Publisher
Astor. Dave et. al,2005, 'Mutts' Comic Will Support 'Spay Day',Editor and Publisher,Book Publisher
Astor. Dave et. al,2005, Special 'Mutts' Strip Redefines the Sunday Comic ,Editor and Publisher,Book Publisher
Astor. Dave et. al,2005, Watterson Answers 'Calvin and Hobbes' Questions,Editor and Publisher,Book Publisher
Astor. Dave,2005, 'Calvin and Hobbes' Returning to Newspapers -- Sort Of,Editor and Publisher,Book Publisher
Astor. Dave,2005, Cartoonist Joe Martin Starts His Own Syndicate,Editor and Publisher,Book Publisher
Astor. Dave,2005, Cartoonists' Convention in Sacramento to Draw Schwarzenegger. Jerry Brown [Association of American Editorial Cartoonists],Editor and Publisher,Book Publisher
Astor. Dave,2005, Doonesbury' Strip Showing Bush Defending Frat Torture at Yale is 'Fact-Based.' Says Garry Trudeau,Editor and Publisher,Book Publisher
Astor. Dave,2005, Fee Waived for Herblock Prize as Editorial Cartoonists Struggle,Editor and Publisher,Book Publisher
Astor. Dave,2005, 'Obviousman' Stirs Talk of Compliant Press [Wiley Miller 'Non Sequitur'],Editor and Publisher,Book Publisher
Astor. Dave,2005, Some Papers Have Problems Pulling Obsolete 'Doonesbury' Strip,Editor and Publisher,Book Publisher
Astor. Dave,2005, 'Tulsa World' Seeks Cartoonist on 'Black Ink Monday',Editor and Publisher,Book Publisher
Astor. David et. al,2005, Cartoonist Does it All for Indiana Paper [Ron Rogers],Editor and Publisher,Book Publisher
Astor. David et. al,2005, Geyer. Horsey Among 'Global' Winners,Editor and Publisher,Book Publisher
Astor. David,2005, Comics Cut. Newark Paper Drops Fat Cat. Newlywed,Editor and Publisher,Book Publisher
Astor. Dave et al,2006, Ann Telnaes' New Cartoon Book Focuses on Dick Cheney,Editor and Publisher,Book Publisher
Astor. Dave et al,2006, Bish Joins Ranks of Blogging Editorial Cartoonists,Editor and Publisher,Book Publisher
Astor. Dave et al,2006, Bloggers Weigh in on Cartoonist's Drunk-Driving Arrest [Mallard Fillmore],Editor and Publisher,Book Publisher
Astor. Dave et al,2006, Cartoon Library's Collection of Originals Tops 250.000,Editor and Publisher,Book Publisher
Astor. Dave et al,2006, Cartoon Show Extended at Library of Congress,Editor and Publisher,Book Publisher
Astor. Dave et al,2006, 'Diesel' Online Strip to Be Distributed to Newspapers,Editor and Publisher,Book Publisher
Astor. Dave et al,2006, 'The Norm' Online Strip Collected in New Book,Editor and Publisher,Book Publisher
Astor. Dave et. al,2006, Universal Offering New Manga Comic Next Month [Van Von Hunter. Tokyopop],Editor and Publisher,Book Publisher
Astor. David,1995, DC  is the site for a cartoon museum. The gallery will showcase Art Wood's huge collection,Editor and Publisher,Book Publisher
Astor. David,1995, Journalistic giants feted at N,Editor and Publisher,Book Publisher
Astor. David,1995, Universal birthday celebrated in KC,Editor and Publisher,Book Publisher
Unknown,1995, 'Chaos' on Internet,Editor and Publisher,Book Publisher
Unknown,1995, Creators Syndicate offering Park panel [W,Editor and Publisher,Book Publisher
Unknown,1995, Environmental work [full page editorial cartoon by W,Editor and Publisher,Book Publisher
Unknown,1995, Marriage prescribed [for 'Rex Morgan. M,Editor and Publisher,Book Publisher
Unknown,1995, cartoon slip-up [Mike Peters],Editor and Publisher,Book Publisher
Astor. David,1996, Controversy over a pulled 'B,Editor and Publisher,Book Publisher
Unknown,1996, Crowe exhibition [of political cartoons and caricatures],Editor and Publisher,Book Publisher
Astor. David,1997, Editorial Cartoonist [Ted Ral] Is Also A Columnist,Editor and Publisher,Book Publisher
Unknown,1997, [ Bill Schorr] Hired [as staff editorial cartoonist] By N,Editor and Publisher,Book Publisher
Unknown,1997, The Doctor Is In Error In [Rex Morgan. M,Editor and Publisher,Book Publisher
Astor. David,1993, A cartoon museum is planned in D,Editor and Publisher,Book Publisher
Unknown,1993, Created 'Alley Oop' [Vincent T,Editor and Publisher,Book Publisher
Astor. David,1994, Hometown decides how to treat a King. Tomah. Wisc,Editor and Publisher,Book Publisher
Giobbe. Dorothy,1994, Poking fun at the Pope [D,Editor and Publisher,Book Publisher
Lamb. Chris,1994, A 'capital' decision for Ann C,Editor and Publisher,Book Publisher
Unknown,1994, [Debra] Solomon does film [animated 'Mrs,Editor and Publisher,Book Publisher
Unknown,1994, [Frank] Ridgeway dies at 64 [Mr,Editor and Publisher,Book Publisher
Unknown,1994, California cartoons [editorial cartoons by T,Editor and Publisher,Book Publisher
Unknown,1994, Cartoon-like canine ['Mother Goose & Grimm' contest],Editor and Publisher,Book Publisher
Unknown,1994, Comic adds bishop ['For Heaven's Sake' religious strip by Rev,Editor and Publisher,Book Publisher
Unknown,1994, Comic stars teacher ['Mr,Editor and Publisher,Book Publisher
Hernandez. Debra Gersh,1995, Hundreds attend grand opening of cartoon art museum in D,Editor and Publisher,Book Publisher
Unknown,1995, Comic stars critters on edge of suburbs [Michael Fry & T,Editor and Publisher,Book Publisher
Unknown,1995, Two comics features [by father-and daughter team Conrad and Connie Day include 'Backyard U.S.A,Editor and Publisher,Book Publisher
Astor. David,1996, A Ms,Editor and Publisher,Book Publisher
Astor. David,1996, A Ms,Editor and Publisher,Book Publisher
Unknown,1996, Cohen's web site [Mark J,Editor and Publisher,Book Publisher
Unknown,1996, Guv vs,Editor and Publisher,Book Publisher
Unknown,1996, Kids' supplements ['Poof! The Magic Horse' by E,Editor and Publisher,Book Publisher
Unknown,1996, Tobacco-tainted [Ranan R,Editor and Publisher,Book Publisher
Unknown,1997, A mix of history and pop culture [M,Editor and Publisher,Book Publisher
Unknown,1997, Meadows strip being launched [F,Editor and Publisher,Book Publisher
Astor. David,1997, Charles Schulz Gets Golf Prize [Raymond C,Editor and Publisher,Book Publisher
Astor. David,1997, Weber Web Site [King Features Syndicate cartoonist Bob Weber Jr,Editor and Publisher,Book Publisher
Unknown,1997, [Bruce] Beattie's Comic ['Beattie Blvd,Editor and Publisher,Book Publisher
Unknown,1997, Licensed To Lampoon [George K,Editor and Publisher,Book Publisher
Unknown,1997, Mencken Awards [Best Cartoon. Michael P,Editor and Publisher,Book Publisher
Astor. Dave et. al,2006, Cartoonist's Pet Project. 'Dog vs,Editor and Publisher,Book Publisher
Astor. Dave et. al,2006, 'Doonesbury' Book Sequel Will Focus On B,Editor and Publisher,Book Publisher
Astor. Dave et al,2008, Black Cartoonists' Feb,Editor and Publisher,Book Publisher
Astor. Dave et. al,2008, 'Evil Inc,Editor and Publisher,Book Publisher
Astor. Dave et. al,2008, 'Garfield' Book No,Editor and Publisher,Book Publisher
Astor. Dave,2008, Black Cartoonists Plan Feb,Editor and Publisher,Book Publisher
Unknown,2009, Tribune Co,Editor and Publisher,Book Publisher
Stein. M,1997, Cartoon's message backfires in California [editorial cartoon],Editor and Publisher,
Stein. M,1997, Cartoon's message backfires in California [editorial cartoon],Editor and Publisher,
Stein. M,1993, Lesher suit against syndicate is settled [comics exclusivity],Editor and Publisher,
Stein. M,1995, David takes on Goliath. 6.000-circulation newspaper fighting an attempt by State of California to tax its comics and political cartoons,Editor and Publisher,
Stein. M,1994, Cartoonist opposes sales tax on his royalties [Paul Mavrides],Editor and Publisher,
Stein. M,1994, Daily strip is Frisco fixture. 'Farley' creator puts his commentary in the news hole [Phil Frank],Editor and Publisher,
Stein. M,1997, Strips on Starr are Mali-booed [Doonesbury],Editor and Publisher,
Astor. Dave et al,2007, Helen Thomas. Danish Editor. Panels at July AAEC Meeting [Danish Islam cartoons], Editor and Publisher,On line
Astor. Dave et al,2006, Panel to Discuss Danish Cartoon Controversy [Danish Islam cartoons], Editor and Publisher,On line
Astor. Dave,2006, 'Speed Bump' Cartoonist Chooses Caption-Contest Winner, Editor and Publisher,On line
Astor. Dave,2006, Second Novel for Cartoonist Doug Marlette, Editor and Publisher,On line
Astor. Dave,2006, AAEC President Clay Bennett Recalls the Year That Was  Very Busy, Editor and Publisher,On line
Astor. Dave et al,2006, Authors Seek Stories About the Impact of 'Peanuts', Editor and Publisher,On line
Astor. Dave et al,2006, AAEC Site Lists 10 Cartoon Contests, Editor and Publisher,On line
Astor. Dave et al,2006, Cleveland 'Plain Dealer' Cartoonist Expected to Resume Work in 2007, Editor and Publisher,On line
Astor. Dave et al,2006, Former 'Asbury Park Press' Cartoonist Dies at 84, Editor and Publisher,On line
Astor. Dave et al,2006, 'Newsweek' Story Covers Online Political Animation, Editor and Publisher,On line
Astor. Dave et al,2006, 'Charlie Brown Christmas' CD is Expanded , Editor and Publisher,On line
Astor. Dave et al,2006, 'Mutts' Cartoonist Gets Sierra Club Award, Editor and Publisher,On line
Astor. Dave et al,2006, After Comic Inspires Video. Video Inspires Comics [Candorville], Editor and Publisher,On line
Astor. Dave et al,2006, Museum Event to Mark Cartoonist's New Book [Keith Knight], Editor and Publisher,On line
Astor. Dave,2006, 'FoxTrot' Cartoonist is Happy But Anxious About Going Sunday-Only, Editor and Publisher,On line
Astor. Dave et al,2006, Cartoon Blogger Praises 'FoxTrot' Decision, Editor and Publisher,On line
Astor. Dave et al,2006, 'Dilbert' Takes On Electronic Voting Machines, Editor and Publisher,On line
Astor. Dave et al,2006, Crowe Teaching Cartooning at Alabama School, Editor and Publisher,On line
Astor. Dave et al,2006, 'Changing Seasons' Show Features 'Peanuts' Strips, Editor and Publisher,On line
Astor. Dave et al,2006, 'Fanboy Radio' Interviews Three Cartoonists, Editor and Publisher,On line
Astor. Dave et al,2006, Fantagraphics Reprinting 50-Year-Old Comic Strip, Editor and Publisher,On line
Astor. Dave et al,2006, George Will. Doonesbury.com Voters Agree on Iraq Chaos, Editor and Publisher,On line
Astor. Dave,2006, Many Cartoons Address Muslim Protests. But Few Depict Muhammad [Danish Islam cartoons], Editor and Publisher,On line
Astor. Dave et al,2006, Doonesbury.com Poll Looks at Danish Cartoon Controversy [Danish Islam cartoons], Editor and Publisher,On line
Unknown,2009, 'New York Post' Cartoonist's Monkey Image Not His First Offense [Delonas chimp cartoon], Editor and Publisher,On line
Associated Press,2009, Cartoon Outrage Incites Protest Outside 'New York Post' Offices [Delonas chimp cartoon], Editor and Publisher,On line
Strupp. Joe,2009, 'New York Post' Editor Defends Dead-Chimp Cartoon [Delonas chimp cartoon], Editor and Publisher,On line
